Property ID,Real Estate Home Knowledge,Distress_Score,Investor_Insights
1,3,100.0,"High chance of foreclosure, Negative equity"
2,3,100.0,"High chance of foreclosure, Negative equity"
3,5,100.0,"High chance of foreclosure, Negative equity"
4,8,99.5,"High chance of foreclosure, Negative equity"
5,2,100.0,"High chance of foreclosure, Negative equity"
6,1,100.0,"High chance of foreclosure, Negative equity"
7,4,100.0,"High chance of foreclosure, Negative equity"
8,3,100.0,"High chance of foreclosure, Negative equity"
9,1,100.0,"High chance of foreclosure, Negative equity"
10,2,100.0,"High chance of foreclosure, Negative equity"
11,2,100.0,High chance of foreclosure
12,0,100.0,High chance of foreclosure
13,1,100.0,High chance of foreclosure
14,8,100.0,High chance of foreclosure
15,2,100.0,High chance of foreclosure
16,4,100.0,High chance of foreclosure
17,5,100.0,High chance of foreclosure
18,7,100.0,High chance of foreclosure
19,4,100.0,High chance of foreclosure
20,9,100.0,High chance of foreclosure
21,8,100.0,High chance of foreclosure
22,9,100.0,High chance of foreclosure
23,9,100.0,High chance of foreclosure
24,4,100.0,High chance of foreclosure
25,4,100.0,High chance of foreclosure
26,3,100.0,High chance of foreclosure
27,3,100.0,High chance of foreclosure
28,1,100.0,High chance of foreclosure
29,2,100.0,High chance of foreclosure
30,4,100.0,High chance of foreclosure
31,8,100.0,High chance of foreclosure
32,4,100.0,High chance of foreclosure
33,2,100.0,High chance of foreclosure
34,5,100.0,High chance of foreclosure
35,2,100.0,High chance of foreclosure
36,5,100.0,High chance of foreclosure
37,5,100.0,High chance of foreclosure
38,5,100.0,High chance of foreclosure
39,1,100.0,High chance of foreclosure
40,5,100.0,High chance of foreclosure
41,9,100.0,High chance of foreclosure
42,6,100.0,High chance of foreclosure
43,8,100.0,High chance of foreclosure
44,3,100.0,High chance of foreclosure
45,0,100.0,High chance of foreclosure
46,4,100.0,High chance of foreclosure
47,6,100.0,High chance of foreclosure
48,6,100.0,High chance of foreclosure
49,9,100.0,High chance of foreclosure
50,2,100.0,High chance of foreclosure
51,6,100.0,High chance of foreclosure
52,4,100.0,High chance of foreclosure
53,0,100.0,High chance of foreclosure
54,4,100.0,High chance of foreclosure
55,3,100.0,High chance of foreclosure
56,1,100.0,High chance of foreclosure
57,5,100.0,High chance of foreclosure
58,8,100.0,High chance of foreclosure
59,1,100.0,"High chance of foreclosure, Unpaid taxes"
60,1,100.0,"High chance of foreclosure, Unpaid taxes"
61,4,100.0,"High chance of foreclosure, Unpaid taxes"
62,4,100.0,"High chance of foreclosure, Unpaid taxes"
63,3,100.0,"High chance of foreclosure, Unpaid taxes"
64,1,100.0,"High chance of foreclosure, Unpaid taxes"
65,2,100.0,"High chance of foreclosure, Unpaid taxes"
66,7,100.0,"High chance of foreclosure, Unpaid taxes"
67,7,100.0,"High chance of foreclosure, Unpaid taxes"
68,9,100.0,"High chance of foreclosure, Unpaid taxes"
69,9,100.0,"High chance of foreclosure, Unpaid taxes"
70,8,100.0,"High chance of foreclosure, Unpaid taxes"
71,4,100.0,"High chance of foreclosure, Unpaid taxes"
72,4,100.0,"High chance of foreclosure, Unpaid taxes"
73,4,99.5,"High chance of foreclosure, Unpaid taxes"
74,6,100.0,"High chance of foreclosure, Unpaid taxes"
75,4,100.0,"High chance of foreclosure, Unpaid taxes"
76,2,100.0,"High chance of foreclosure, Unpaid taxes"
77,4,100.0,"High chance of foreclosure, Unpaid taxes"
78,5,100.0,"High chance of foreclosure, Unpaid taxes"
79,9,100.0,"High chance of foreclosure, Unpaid taxes"
80,1,100.0,"High chance of foreclosure, Unpaid taxes"
81,4,100.0,"High chance of foreclosure, Unpaid taxes"
82,4,100.0,"High chance of foreclosure, Unpaid taxes"
83,9,100.0,"High chance of foreclosure, Unpaid taxes"
84,6,100.0,"High chance of foreclosure, Unpaid taxes"
85,8,100.0,"High chance of foreclosure, Unpaid taxes"
86,7,100.0,"High chance of foreclosure, Unpaid taxes"
87,0,100.0,"High chance of foreclosure, Unpaid taxes"
88,5,100.0,"High chance of foreclosure, Unpaid taxes"
89,6,100.0,"High chance of foreclosure, Unpaid taxes"
90,9,100.0,"High chance of foreclosure, Unpaid taxes"
91,7,100.0,"High chance of foreclosure, Unpaid taxes"
92,8,100.0,"High chance of foreclosure, Unpaid taxes"
93,6,100.0,"High chance of foreclosure, Unpaid taxes"
94,7,100.0,"High chance of foreclosure, Unpaid taxes"
95,7,100.0,"High chance of foreclosure, Unpaid taxes"
96,2,100.0,"High chance of foreclosure, Unpaid taxes"
97,5,100.0,"High chance of foreclosure, Unpaid taxes"
98,2,100.0,"High chance of foreclosure, Unpaid taxes"
99,2,100.0,"High chance of foreclosure, Unpaid taxes"
100,7,100.0,"High chance of foreclosure, Unpaid taxes"
101,1,100.0,"High chance of foreclosure, Unpaid taxes"
102,4,100.0,"High chance of foreclosure, Unpaid taxes"
103,1,100.0,"High chance of foreclosure, Unpaid taxes"
104,1,100.0,"High chance of foreclosure, Unpaid taxes"
105,4,100.0,"High chance of foreclosure, Unpaid taxes"
106,5,100.0,"High chance of foreclosure, Unpaid taxes"
107,8,100.0,"High chance of foreclosure, Unpaid taxes"
108,3,100.0,"High chance of foreclosure, Unpaid taxes"
109,5,100.0,"High chance of foreclosure, Unpaid taxes"
110,4,100.0,"High chance of foreclosure, Unpaid taxes"
111,6,100.0,"High chance of foreclosure, Unpaid taxes"
112,6,100.0,"High chance of foreclosure, Unpaid taxes"
113,5,100.0,"High chance of foreclosure, Unpaid taxes"
114,2,100.0,"High chance of foreclosure, Unpaid taxes"
115,2,100.0,"High chance of foreclosure, Unpaid taxes"
116,4,100.0,"High chance of foreclosure, Unpaid taxes"
117,4,100.0,"High chance of foreclosure, Unpaid taxes"
118,0,100.0,"High chance of foreclosure, Unpaid taxes"
119,2,100.0,"High chance of foreclosure, Unpaid taxes"
120,8,100.0,"High chance of foreclosure, Unpaid taxes"
121,5,100.0,"High chance of foreclosure, Unpaid taxes"
122,6,100.0,"High chance of foreclosure, Unpaid taxes"
123,3,100.0,"High chance of foreclosure, Unpaid taxes"
124,5,100.0,"High chance of foreclosure, Unpaid taxes"
125,7,100.0,"High chance of foreclosure, Unpaid taxes"
126,1,100.0,"High chance of foreclosure, Unpaid taxes"
127,9,100.0,"High chance of foreclosure, Unpaid taxes"
128,9,100.0,"High chance of foreclosure, Unpaid taxes"
129,6,100.0,"High chance of foreclosure, Unpaid taxes"
130,2,100.0,"High chance of foreclosure, Unpaid taxes"
131,1,100.0,"High chance of foreclosure, Unpaid taxes"
132,5,100.0,"High chance of foreclosure, Unpaid taxes"
133,8,99.5,"High chance of foreclosure, Unpaid taxes"
134,6,100.0,"High chance of foreclosure, Unpaid taxes"
135,8,100.0,"High chance of foreclosure, Unpaid taxes"
136,6,100.0,"High chance of foreclosure, Unpaid taxes"
137,3,100.0,"High chance of foreclosure, Unpaid taxes"
138,3,100.0,"High chance of foreclosure, Unpaid taxes"
139,9,100.0,"High chance of foreclosure, Unpaid taxes"
140,8,100.0,"High chance of foreclosure, Unpaid taxes"
141,6,100.0,"High chance of foreclosure, Unpaid taxes"
142,7,100.0,"High chance of foreclosure, Unpaid taxes"
143,3,100.0,"High chance of foreclosure, Unpaid taxes"
144,1,100.0,"High chance of foreclosure, Unpaid taxes"
145,2,100.0,"High chance of foreclosure, Unpaid taxes"
146,4,100.0,"High chance of foreclosure, Unpaid taxes"
147,8,100.0,"High chance of foreclosure, Unpaid taxes"
148,4,100.0,"High chance of foreclosure, Unpaid taxes"
149,2,100.0,"High chance of foreclosure, Unpaid taxes"
150,2,100.0,"High chance of foreclosure, Unpaid taxes"
151,8,100.0,"High chance of foreclosure, Unpaid taxes"
152,8,100.0,"High chance of foreclosure, Unpaid taxes"
153,3,100.0,"High chance of foreclosure, Unpaid taxes"
154,0,100.0,"High chance of foreclosure, Unpaid taxes"
155,2,100.0,"High chance of foreclosure, Unpaid taxes"
156,6,100.0,"High chance of foreclosure, Unpaid taxes"
157,5,100.0,"High chance of foreclosure, Unpaid taxes"
158,2,100.0,"High chance of foreclosure, Unpaid taxes"
159,9,100.0,"High chance of foreclosure, Unpaid taxes"
160,9,99.5,"High chance of foreclosure, Unpaid taxes"
161,2,100.0,"High chance of foreclosure, Unpaid taxes"
162,9,100.0,"High chance of foreclosure, Unpaid taxes"
163,7,100.0,"High chance of foreclosure, Unpaid taxes"
164,3,100.0,"High chance of foreclosure, Unpaid taxes"
165,9,100.0,"High chance of foreclosure, Unpaid taxes"
166,4,100.0,"High chance of foreclosure, Unpaid taxes"
167,0,100.0,"High chance of foreclosure, Unpaid taxes"
168,1,100.0,"High chance of foreclosure, Unpaid taxes"
169,3,100.0,"High chance of foreclosure, Unpaid taxes"
170,0,100.0,"High chance of foreclosure, Unpaid taxes"
171,0,100.0,"High chance of foreclosure, Unpaid taxes"
172,5,100.0,"High chance of foreclosure, Unpaid taxes"
173,0,100.0,"High chance of foreclosure, Unpaid taxes"
174,7,100.0,"High chance of foreclosure, Unpaid taxes"
175,0,100.0,"High chance of foreclosure, Unpaid taxes"
176,0,100.0,"High chance of foreclosure, Unpaid taxes"
177,9,100.0,"High chance of foreclosure, Unpaid taxes"
178,1,100.0,"High chance of foreclosure, Unpaid taxes"
179,8,100.0,"High chance of foreclosure, Unpaid taxes"
180,9,100.0,"High chance of foreclosure, Unpaid taxes"
181,8,100.0,"High chance of foreclosure, Unpaid taxes"
182,9,100.0,"High chance of foreclosure, Unpaid taxes"
183,1,100.0,"High chance of foreclosure, Unpaid taxes"
184,7,100.0,"High chance of foreclosure, Unpaid taxes"
185,7,100.0,"High chance of foreclosure, Unpaid taxes"
186,2,100.0,"High chance of foreclosure, Unpaid taxes"
187,8,100.0,"High chance of foreclosure, Unpaid taxes"
188,1,100.0,"High chance of foreclosure, Unpaid taxes"
189,1,100.0,"High chance of foreclosure, Unpaid taxes"
190,5,100.0,"High chance of foreclosure, Unpaid taxes"
191,0,100.0,"High chance of foreclosure, Unpaid taxes"
192,4,100.0,"High chance of foreclosure, Unpaid taxes"
193,0,99.0,"High chance of foreclosure, Unpaid taxes"
194,8,100.0,"High chance of foreclosure, Unpaid taxes"
195,4,100.0,"High chance of foreclosure, Unpaid taxes"
196,8,100.0,"High chance of foreclosure, Unpaid taxes"
