Real Estate Home Knowledge,Property ID,Address,Last Sale Date,Previous Owners Count,Equity Percentage,Mortgage Default History,Loan-to-Value (LTV) Ratio,Tax Delinquency Year,Liens Amount,Bankruptcy Status,Foreclosure Status,Years Since Last Sale,Has Liens,Low Equity,Distress
Lien,1,"123 Example St, City, State 1",2015-01-31,0,10.0,0.0,50.0,2018,5000,0.0,0.0,10,False,True,1
Lien,2,"123 Example St, City, State 2",2015-02-28,1,10.5,0.0,50.2,2019,5010,0.0,0.0,10,True,True,1
Probate,3,"123 Example St, City, State 3",2015-03-31,2,11.0,0.0,50.4,2020,5020,0.0,0.0,10,True,True,1
Title Issues,4,"123 Example St, City, State 4",2015-04-30,3,11.5,0.0,50.6,2021,5030,0.0,0.0,10,True,True,1
HOA Violations,5,"123 Example St, City, State 5",2015-05-31,4,12.0,0.0,50.8,2022,5040,0.0,0.0,10,True,True,1
Foreclosure,6,"123 Example St, City, State 6",2015-06-30,0,12.5,0.0,51.0,2018,5050,0.0,0.0,10,True,True,1
Loan Modification,7,"123 Example St, City, State 7",2015-07-31,1,13.0,0.0,51.2,2019,5060,0.0,0.0,10,True,True,1
Lien,8,"123 Example St, City, State 8",2015-08-31,2,13.5,0.0,51.4,2020,5070,0.0,0.0,10,True,True,1
Foreclosure,9,"123 Example St, City, State 9",2015-09-30,3,14.0,0.0,51.6,2021,5080,0.0,0.0,10,True,True,1
HOA Violations,10,"123 Example St, City, State 10",2015-10-31,4,14.5,0.0,51.8,2022,5090,0.0,0.0,10,True,True,1
HOA Violations,11,"123 Example St, City, State 11",2015-11-30,0,15.0,0.0,52.0,2018,5100,0.0,0.0,10,True,True,1
Bankruptcy,12,"123 Example St, City, State 12",2015-12-31,1,15.5,0.0,52.2,2019,5110,0.0,0.0,10,True,True,1
Foreclosure,13,"123 Example St, City, State 13",2016-01-31,2,16.0,0.0,52.4,2020,5120,0.0,0.0,9,True,True,1
Title Issues,14,"123 Example St, City, State 14",2016-02-29,3,16.5,0.0,52.6,2021,5130,0.0,0.0,9,True,True,1
HOA Violations,15,"123 Example St, City, State 15",2016-03-31,4,17.0,0.0,52.8,2022,5140,0.0,0.0,9,True,True,1
Loan Modification,16,"123 Example St, City, State 16",2016-04-30,0,17.5,0.0,53.0,2018,5150,0.0,0.0,9,True,True,1
Probate,17,"123 Example St, City, State 17",2016-05-31,1,18.0,0.0,53.2,2019,5160,0.0,0.0,9,True,True,1
Short Sale,18,"123 Example St, City, State 18",2016-06-30,2,18.5,0.0,53.4,2020,5170,0.0,0.0,9,True,True,1
Loan Modification,19,"123 Example St, City, State 19",2016-07-31,3,19.0,0.0,53.6,2021,5180,0.0,0.0,9,True,True,1
Unpaid Taxes,20,"123 Example St, City, State 20",2016-08-31,4,19.5,0.0,53.8,2022,5190,0.0,0.0,9,True,True,1
Title Issues,21,"123 Example St, City, State 21",2016-09-30,0,20.0,0.0,54.0,2018,5200,0.0,0.0,9,True,True,1
Unpaid Taxes,22,"123 Example St, City, State 22",2016-10-31,1,20.5,0.0,54.2,2019,5210,0.0,0.0,9,True,True,1
Unpaid Taxes,23,"123 Example St, City, State 23",2016-11-30,2,21.0,0.0,54.4,2020,5220,0.0,0.0,9,True,True,1
Loan Modification,24,"123 Example St, City, State 24",2016-12-31,3,21.5,0.0,54.6,2021,5230,0.0,0.0,9,True,True,1
Loan Modification,25,"123 Example St, City, State 25",2017-01-31,4,22.0,0.0,54.8,2022,5240,0.0,0.0,8,True,True,1
Lien,26,"123 Example St, City, State 26",2017-02-28,0,22.5,0.0,55.0,2018,5250,0.0,0.0,8,True,True,1
Lien,27,"123 Example St, City, State 27",2017-03-31,1,23.0,0.0,55.2,2019,5260,0.0,0.0,8,True,True,1
Foreclosure,28,"123 Example St, City, State 28",2017-04-30,2,23.5,0.0,55.4,2020,5270,0.0,0.0,8,True,True,1
HOA Violations,29,"123 Example St, City, State 29",2017-05-31,3,24.0,0.0,55.6,2021,5280,0.0,0.0,8,True,True,1
Loan Modification,30,"123 Example St, City, State 30",2017-06-30,4,24.5,0.0,55.8,2022,5290,0.0,0.0,8,True,True,1
Title Issues,31,"123 Example St, City, State 31",2017-07-31,0,25.0,0.0,56.0,2018,5300,0.0,0.0,8,True,True,1
Loan Modification,32,"123 Example St, City, State 32",2017-08-31,1,25.5,0.0,56.2,2019,5310,0.0,0.0,8,True,True,1
HOA Violations,33,"123 Example St, City, State 33",2017-09-30,2,26.0,0.0,56.4,2020,5320,0.0,0.0,8,True,True,1
Probate,34,"123 Example St, City, State 34",2017-10-31,3,26.5,0.0,56.6,2021,5330,0.0,0.0,8,True,True,1
HOA Violations,35,"123 Example St, City, State 35",2017-11-30,4,27.0,0.0,56.8,2022,5340,0.0,0.0,8,True,True,1
Probate,36,"123 Example St, City, State 36",2017-12-31,0,27.5,0.0,57.0,2018,5350,0.0,0.0,8,True,True,1
Probate,37,"123 Example St, City, State 37",2018-01-31,1,28.0,0.0,57.2,2019,5360,0.0,0.0,7,True,True,1
Probate,38,"123 Example St, City, State 38",2018-02-28,2,28.5,0.0,57.4,2020,5370,0.0,0.0,7,True,True,1
Foreclosure,39,"123 Example St, City, State 39",2018-03-31,3,29.0,0.0,57.6,2021,5380,0.0,0.0,7,True,True,1
Probate,40,"123 Example St, City, State 40",2018-04-30,4,29.5,0.0,57.8,2022,5390,0.0,0.0,7,True,True,1
Unpaid Taxes,41,"123 Example St, City, State 41",2018-05-31,0,30.0,0.0,58.0,2018,5400,0.0,0.0,7,True,True,1
Property Damage,42,"123 Example St, City, State 42",2018-06-30,1,30.5,0.0,58.2,2019,5410,0.0,0.0,7,True,True,1
Title Issues,43,"123 Example St, City, State 43",2018-07-31,2,31.0,0.0,58.4,2020,5420,0.0,0.0,7,True,True,1
Lien,44,"123 Example St, City, State 44",2018-08-31,3,31.5,0.0,58.6,2021,5430,0.0,0.0,7,True,True,1
Bankruptcy,45,"123 Example St, City, State 45",2018-09-30,4,32.0,0.0,58.8,2022,5440,0.0,0.0,7,True,True,1
Loan Modification,46,"123 Example St, City, State 46",2018-10-31,0,32.5,0.0,59.0,2018,5450,0.0,0.0,7,True,True,1
Property Damage,47,"123 Example St, City, State 47",2018-11-30,1,33.0,0.0,59.2,2019,5460,0.0,0.0,7,True,True,1
Property Damage,48,"123 Example St, City, State 48",2018-12-31,2,33.5,0.0,59.4,2020,5470,0.0,0.0,7,True,True,1
Unpaid Taxes,49,"123 Example St, City, State 49",2019-01-31,3,34.0,0.0,59.6,2021,5480,0.0,0.0,6,True,True,1
HOA Violations,50,"123 Example St, City, State 50",2019-02-28,4,34.5,0.0,59.8,2022,5490,0.0,0.0,6,True,True,1
Property Damage,51,"123 Example St, City, State 51",2019-03-31,0,35.0,0.0,60.0,2018,5500,0.0,0.0,6,True,True,1
Loan Modification,52,"123 Example St, City, State 52",2019-04-30,1,35.5,0.0,60.2,2019,5510,0.0,0.0,6,True,True,1
Bankruptcy,53,"123 Example St, City, State 53",2019-05-31,2,36.0,0.0,60.4,2020,5520,0.0,0.0,6,True,True,1
Loan Modification,54,"123 Example St, City, State 54",2019-06-30,3,36.5,0.0,60.6,2021,5530,0.0,0.0,6,True,True,1
Lien,55,"123 Example St, City, State 55",2019-07-31,4,37.0,0.0,60.8,2022,5540,0.0,0.0,6,True,True,1
Foreclosure,56,"123 Example St, City, State 56",2019-08-31,0,37.5,0.0,61.0,2018,5550,0.0,0.0,6,True,True,1
Probate,57,"123 Example St, City, State 57",2019-09-30,1,38.0,0.0,61.2,2019,5560,0.0,0.0,6,True,True,1
Title Issues,58,"123 Example St, City, State 58",2019-10-31,2,38.5,0.0,61.4,2020,5570,0.0,0.0,6,True,True,1
Foreclosure,59,"123 Example St, City, State 59",2019-11-30,3,39.0,0.0,61.6,2021,5580,0.0,0.0,6,True,True,1
Foreclosure,60,"123 Example St, City, State 60",2019-12-31,4,39.5,0.0,61.8,2022,5590,0.0,0.0,6,True,True,1
Loan Modification,61,"123 Example St, City, State 61",2020-01-31,0,40.0,0.0,62.0,2018,5600,0.0,0.0,5,True,True,1
Loan Modification,62,"123 Example St, City, State 62",2020-02-29,1,40.5,0.0,62.2,2019,5610,0.0,0.0,5,True,True,1
Lien,63,"123 Example St, City, State 63",2020-03-31,2,41.0,0.0,62.4,2020,5620,0.0,0.0,5,True,True,1
Foreclosure,64,"123 Example St, City, State 64",2020-04-30,3,41.5,0.0,62.6,2021,5630,0.0,0.0,5,True,True,1
HOA Violations,65,"123 Example St, City, State 65",2020-05-31,4,42.0,0.0,62.8,2022,5640,0.0,0.0,5,True,True,1
Short Sale,66,"123 Example St, City, State 66",2020-06-30,0,42.5,0.0,63.0,2018,5650,0.0,0.0,5,True,True,1
Short Sale,67,"123 Example St, City, State 67",2020-07-31,1,43.0,0.0,63.2,2019,5660,0.0,0.0,5,True,True,1
Unpaid Taxes,68,"123 Example St, City, State 68",2020-08-31,2,43.5,0.0,63.4,2020,5670,0.0,0.0,5,True,True,1
Unpaid Taxes,69,"123 Example St, City, State 69",2020-09-30,3,44.0,0.0,63.6,2021,5680,0.0,0.0,5,True,True,1
Title Issues,70,"123 Example St, City, State 70",2020-10-31,4,44.5,0.0,63.8,2022,5690,0.0,0.0,5,True,True,1
Loan Modification,71,"123 Example St, City, State 71",2020-11-30,0,45.0,0.0,64.0,2018,5700,0.0,0.0,5,True,True,1
Loan Modification,72,"123 Example St, City, State 72",2020-12-31,1,45.5,0.0,64.2,2019,5710,0.0,0.0,5,True,True,1
Loan Modification,73,"123 Example St, City, State 73",2021-01-31,2,46.0,0.0,64.4,2020,5720,0.0,0.0,4,True,True,1
Property Damage,74,"123 Example St, City, State 74",2021-02-28,3,46.5,0.0,64.6,2021,5730,0.0,0.0,4,True,True,1
Loan Modification,75,"123 Example St, City, State 75",2021-03-31,4,47.0,0.0,64.8,2022,5740,0.0,0.0,4,True,True,1
HOA Violations,76,"123 Example St, City, State 76",2021-04-30,0,47.5,0.0,65.0,2018,5750,0.0,0.0,4,True,True,1
Loan Modification,77,"123 Example St, City, State 77",2021-05-31,1,48.0,0.0,65.2,2019,5760,0.0,0.0,4,True,True,1
Probate,78,"123 Example St, City, State 78",2021-06-30,2,48.5,0.0,65.4,2020,5770,0.0,0.0,4,True,True,1
Unpaid Taxes,79,"123 Example St, City, State 79",2021-07-31,3,49.0,0.0,65.6,2021,5780,0.0,0.0,4,True,True,1
Foreclosure,80,"123 Example St, City, State 80",2021-08-31,4,49.5,0.0,65.8,2022,5790,0.0,0.0,4,True,True,1
Loan Modification,81,"123 Example St, City, State 81",2021-09-30,0,50.0,0.0,66.0,2018,5800,0.0,0.0,4,True,True,1
Loan Modification,82,"123 Example St, City, State 82",2021-10-31,1,50.5,0.0,66.2,2019,5810,0.0,0.0,4,True,True,1
Unpaid Taxes,83,"123 Example St, City, State 83",2021-11-30,2,51.0,0.0,66.4,2020,5820,0.0,0.0,4,True,True,1
Property Damage,84,"123 Example St, City, State 84",2021-12-31,3,51.5,0.0,66.6,2021,5830,0.0,0.0,4,True,True,1
Title Issues,85,"123 Example St, City, State 85",2022-01-31,4,52.0,0.0,66.8,2022,5840,0.0,0.0,3,True,True,1
Short Sale,86,"123 Example St, City, State 86",2022-02-28,0,52.5,0.0,67.0,2018,5850,0.0,0.0,3,True,True,1
Bankruptcy,87,"123 Example St, City, State 87",2022-03-31,1,53.0,0.0,67.2,2019,5860,0.0,0.0,3,True,True,1
Probate,88,"123 Example St, City, State 88",2022-04-30,2,53.5,0.0,67.4,2020,5870,0.0,0.0,3,True,True,1
Property Damage,89,"123 Example St, City, State 89",2022-05-31,3,54.0,0.0,67.6,2021,5880,0.0,0.0,3,True,True,1
Unpaid Taxes,90,"123 Example St, City, State 90",2022-06-30,4,54.5,0.0,67.8,2022,5890,0.0,0.0,3,True,True,1
